elementId,enterpriseId,name,dataType,status,description,structure,references
TBD,,filename,string,current,"The name of the file.",,
TBD,,interfaceLabel,string,current,"A unique label that can be used to reference a network interface.",,
TBD,,size,unsigned32,current,"This is the size of the file in bytes.",,
TBD,,targetEndpointLabel,string,current,"A label that uniquely identifies a target endpoint on SACM domain.",,
TBD,,mibIndexIndicator,unsigned64,current,"This set of bit fields is used for marking the Information Elements of a Data Record that serve as INDEX MIB objects for an indexed Columnar MIB object.  Each bit represents an Information Element in the Data Record with the n-th bit representing the n-th Information Element.  A bit set to value 1 indicates that the corresponding Information Element is an index of the Columnar Object represented by the mibFieldValue.  A bit set to value 0 indicates that this is not the case.|| If the Data Record contains more than 64 Information Elements, the corresponding Template SHOULD be designed such that all INDEX Fields are among the first 64 Information Elements, because the mibIndexIndicator only contains 64 bits. If the Data Record contains less than 64 Information Elements, then the extra bits in the mibIndexIndicator for which no corresponding Information Element exists MUST have the value 0, and must be disregarded by the Collector.  This Information Element may be exported with IPFIX Reduced Size Encoding.",,
TBD,,softwareVerison,category,current,"The version of the software application. Software applications may be versioned using a number of schemas. The following high-level digram describes the structure of the softwareVersion information element.","category(simpleSoftwareVersion |rpmSoftwareVersion |ciscoTrainSoftwareVersion)",
TBD,,fileWriteAttributes,boolean,current,"Grants the right to change file attributes.",,
TBD,,interfaceIndex,unsigned32,current,"The index of an interface installed on an endpoint. The value matches the value of managed object 'ifIndex' as defined in [RFC2863]. Note that ifIndex values are not assigned statically to an interface and that the interfaces may be renumbered every time the device's management system is re-initialized, as specified in [RFC2863].",,
TBD,,lockoutpolicy,list,current,"Specifies various attributes associated with lockout information for users and global groups in the security database.","list(forceLogoff,lockoutDuration,lockoutObservationWindow,lockoutThreshold)",
TBD,,mibObjectValueOID,octetArray,current,"An IPFIX Information Element which denotes that an Object Identifier or OID value of a MIB object will be exported. The MIB Object Identifier (""mibObjectIdentifier"") for this field MUST be exported in a MIB Field Option or via another means. This Information Element is used for MIB objects with the Base Syntax of OBJECT IDENTIFIER.  Note - In this case the ""mibObjectIdentifier"" will define which MIB object is being exported while the value contained in this Information Element will be an OID as a value.  The mibObjectValueOID Information Element is encoded as ASN.1/BER [BER] in an octetArray.",,
TBD,,selinuxName,string,current,"The name of the SELinux boolean.",,
TBD,,patchName,string,current,"The vendor's name of a software patch.",,
TBD,,relayTimestamp,dateTimeSeconds,current,"The date and time when the posture information was relayed to another SACM Component.",,
TBD,,relationshipObjectLabel,string,current,"A reference to a specific label used in content (e.g. a te-label or a user-id). This reference is typically used if matching content attribute can be done efficiantly and can also be included in addition to a relationship-content-element-guid reference.",,
TBD,,systemdunitValue,string,current,"The value of the property associated with a systemd unit. Exactly one value shall be used for all property types except dbus arrays - each array element shall be represented by one value.",,
TBD,,localFullAddress,string,current,"The IP address and network port on which the program listens, including the local address and the local port. Note that the IP address can be IPv4 or IPv6.",,
TBD,,fileauditedpermissions,list,current,"Stores the audited access rights of a file that a system access control list (SACL) structure grants to a specified trustee. The trustee's audited access rights are determined checking all access control entries (ACEs) in the SACL.","list(filepath,path,filename,trusteeSid,trusteeName,auditStandardDelete,auditStandardReadControl,auditStandardWriteDac,auditStandardWriteOwner,auditStandardSynchronize,auditAccessSystemSecurity,auditGenericRead,auditGenericWrite,auditGenericExecute,auditGenericAll,auditFileReadData,auditFileWriteData,auditFileAppendData,auditFileReadEa,auditFileWriteEa,auditFileExecute,auditFileDeleteChild,auditFileReadAttributes,auditFileWriteAttributes,windowsView)",
TBD,,serviceChangeConf,boolean,current,"Specifies whether or not permission is granted to change service configuration.",,
TBD,,serviceQueryStat,boolean,current,"Specifies whether or not permission is granted to query the service control manager about the status of the service.",,
TBD,,layer3NetworkLocation,string,current,"The location of a layer-3 interface on the network (e.g. next-hop routing neighbor).",,
TBD,,auditFileWriteEa,enumeration,current,"Grants the right to write extended attributes.","AUDIT_FAILURE;0x1;The audit type AUDIT_FAILURE is used to perform audits on all unsuccessful occurrences of specified events when auditing is enabled.||AUDIT_NONE;0x2;The audit type AUDIT_NONE is used to cancel all auditing options for the specified events.||AUDIT_SUCCESS;0x3;The audit type AUDIT_SUCCESS is used to perform audits on all successful occurrences of the specified events when auditing is enabled.||AUDIT_SUCCESS_FAILURE;0x4;The audit type AUDIT_SUCCESS_FAILURE is used to perform audits on all successful and unsuccessful occurrences of the specified events when auditing is enabled.||;0x5;The empty string value is permitted here to allow for detailed error reporting.||",
TBD,,auditFileReadEa,enumeration,current,"Grants the right to read extended attributes.","AUDIT_FAILURE;0x1;The audit type AUDIT_FAILURE is used to perform audits on all unsuccessful occurrences of specified events when auditing is enabled.||AUDIT_NONE;0x2;The audit type AUDIT_NONE is used to cancel all auditing options for the specified events.||AUDIT_SUCCESS;0x3;The audit type AUDIT_SUCCESS is used to perform audits on all successful occurrences of the specified events when auditing is enabled.||AUDIT_SUCCESS_FAILURE;0x4;The audit type AUDIT_SUCCESS_FAILURE is used to perform audits on all successful and unsuccessful occurrences of the specified events when auditing is enabled.||;0x5;The empty string value is permitted here to allow for detailed error reporting.||",
TBD,,applicationLabel,string,current,"A label that is supposed to uniquely reference an application.",,
TBD,,registryKeyName,string,current,"Describes the name of a registry key.",,
TBD,,lastWriteTime,unsigned64,current,"The last time that the key or any of its value entries were modified. The value of this entity represents the FILETIME structure which is a 64-bit value representing the number of 100-nanosecond intervals since January 1, 1601 (UTC). Last write time can be queried on any key, with hives being classified as a type of key. When collecting only information about a registry hive or key the last write time will be the time the key or any of its entries were modified. When collecting only information about a registry name the last write time will be the time the containing key was modified. Thus when collecting information about a registry name, the last write time does not correlate directly to the specified name. See the RegQueryInfoKey function lpftLastWriteTime.",,
TBD,,server,string,current,"Specifies the executable that is used to launch the service.",,
TBD,,currentStatus,boolean,current,"Indicates current state of the specified SELinux boolean.",,
TBD,,gateway,ipAddress,current,"The gateway of the specified routing table entry.",,
TBD,,windowsView,enumeration,current,"Indicates from which view (32-bit or 64-bit), the information was collected. A value of '32_bit' indicates the Item was collected from the 32-bit view. A value of '64-bit' indicates the Item was collected from the 64-bit view.","32_bit;0x1;Indicates the 32_bit windows view.||64_bit;0x2;Indicates the 64_bit windows view.||;0x3;The empty string value is permitted here to allow for empty elements associated with error conditions.||",
TBD,,rpmSoftwareVersion,string,current,"The version string for a software application that conforms to the EPOCH:VERSION-RELEASE format.",,
TBD,,serviceEnumDependents,boolean,current,"Specifies whether or not permission is granted to query for an enumeration of all the services dependent on the service.",,
TBD,,informationElementDescription,string,current,"A UTF-8 [RFC3629] encoded Unicode string containing a human-readable description of an Information Element.  The content of the informationElementDescription MAY be annotated with one or more language tags [RFC4646], encoded in-line [RFC2482] within the UTF-8 string, in order to specify the language in which the description is written.  Description text in multiple languages MAY tag each section with its own language tag; in this case, the description information in each language SHOULD have equivalent meaning.  In the absence of any language tag, the ""i-default"" [RFC2277] language SHOULD be assumed.  See the Security Considerations section for notes on string handling for Information Element type records.",,
TBD,,informationElementIndex,unsigned16,current,"A zero-based index of an Information Element referenced by informationElementId within a Template referenced by templateId; used to disambiguate scope for templates containing multiple identical Information Elements.",,
TBD,,service,list,current,"Stores information about Windows services that are present on the system.","list(serviceName,displayName,description,serviceType,startType,currentState,controlsAccepted,startName,path,pid,serviceFlag,dependencies)",
TBD,,maxPasswdAge,unsigned32,current,"Specifies, in seconds (from a DWORD), the maximum allowable password age. A value of TIMEQ_FOREVER (max DWORD value, 4294967295) indicates that the password never expires. The minimum valid value for this element is ONE_DAY (86400). See the USER_MODALS_INFO_0 structure returned by a call to NetUserModalsGet().",,
TBD,,serverArguments,string,current,"Specifies the arguments that are passed to the executable when launching the service.",,
TBD,,roleName,string,current,"A label that references a collection of privileges assigned to a specific entity (identity? FIXME).",,
TBD,,relationshipType,string,current,"A set of types that is in every instance of a relationship subject to highlight what kind of relationship exists between the subject the relationship is included in (e.g. associated_with_user, applies_to_session, seen_on_interface, associated_with_flow, contains_virtual_device).",,
TBD,,path,string,current,"Specifies the directory component of the absolute path to a file on the machine.",,
TBD,,lowSensitivity,string,current,"Specifies the current sensitivity of a file or process.",,
TBD,,serviceeffectiverights,list,current,"Stores the effective rights of a service that a discretionary access control list (DACL) structure grants to a specified trustee. The trustee's effective rights are determined by checking all access-allowed and access-denied access control entries (ACEs) in the DACL.","list(serviceName,trusteeSid,standardDelete,standardReadControl,standardWriteDac,standardWriteOwner,genericRead,genericWrite,genericExecute,serviceQueryConf,serviceChangeConf,serviceQueryStat,serviceEnumDependents,serviceStart,serviceStop,servicePause,serviceInterrogate,serviceUserDefined)",
TBD,,applicationCategoryName,string,current,"An attribute that provides a first level categorization for each Application ID.",,
TBD,,unitsSent,string,current,"a value that represents a number of units (e.g. frames, packets, cells or segments) sent on a network interface.",,
TBD,,templateId,unsigned16,current,"An identifier of a Template that is locally unique within a combination of a Transport session and an Observation Domain.|| Template IDs 0-255 are reserved for Template Sets, Options Template Sets, and other reserved Sets yet to be created. Template IDs of Data Sets are numbered from 256 to 65535.|| Typically, this Information Element is used for limiting the scope of other Information Elements. Note that after a re-start of the Exporting Process Template identifiers may be re-assigned.",,
TBD,,sacmContentElementMetadata,orderedList,current,"Contains IEs that provide information about the data source and type of security automation information such that other SACM Components are able to parse and understand the security automation information contained within the SACM Statement's SACM Content Element(s).","orderedList(collectionTimestamp,targetEndpoint,)",
TBD,,userSidInfo,list,current,"Specifies the different groups (identified by SID) that a user belongs to.","list(userSid,enabled,groupSid,lastLogon)",
TBD,,nodeName,string,current,"Specifies the host name.",,
TBD,,keyCreateLink,boolean,current,"",,
TBD,,destinationIPv4Prefix,ipv4Address,current,"IPv4 destination address prefix.",,
TBD,,kernelParameterValue,string,current,"The current value(s) for the specified kernel parameter on the local system.",,
TBD,,informationElementSemantics,unsigned8,current,"A description of the semantics of an IPFIX Information Element.  These are taken from the data type semantics defined in section 3.2 of the IPFIX Information Model [RFC5102]; see that section for more information on the types defined in the informationElementSemantics sub-registry.  This field may take the values in Table ; the special value 0x00 (default) is used to note that no semantics apply to the field; it cannot be manipulated by a Collecting Process or File Reader that does not understand it a priori.|| These semantics are registered in the IANA IPFIX Information Element Semantics subregistry.  This subregistry is intended to assign numbers for semantics names, not to provide a mechanism for adding semantics to the IPFIX Protocol, and as such requires a Standards Action [RFC5226] to modify.",,
TBD,,cTime,dateTimeSeconds,current,"The time of the last change to the file's inode.",,
TBD,,sacmStatement,orderedList,current,"Associates SACM Statement Metadata which provides data origin information about the providing SACM Component with one or more SACM Content Elements that contain security automation information.","orderedList(sacmStatementMetadata,sacmContentElement+)",
TBD,,ciscoTrainSoftwareVersion,string,current,"The version string for a software application that conforms to the Cisco IOS Train string format.",,
TBD,,applicationName,string,current,"Specifies the name of an application.",,
TBD,,informationElementName,string,current,"A UTF-8 [RFC3629] encoded Unicode string containing the name of an Information Element, intended as a simple identifier.  See the Security Considerations section for notes on string handling for Information Element type records.",,
TBD,,foreignAddress,ipAddress,current,"The IP address with which the program is communicating, or with which it will communicate. Note that the IP address can be IPv4 or IPv6.",,
TBD,,authenticator,string,current,"A label that references a SACM component that can authenticate target endpoints (can be used in a target-endpoint subject to express that the target endpoint was authenticated by that SACM component.",,
TBD,,auditGenericAll,enumeration,current,"Read, write, and execute access.","AUDIT_FAILURE;0x1;The audit type AUDIT_FAILURE is used to perform audits on all unsuccessful occurrences of specified events when auditing is enabled.||AUDIT_NONE;0x2;The audit type AUDIT_NONE is used to cancel all auditing options for the specified events.||AUDIT_SUCCESS;0x3;The audit type AUDIT_SUCCESS is used to perform audits on all successful occurrences of the specified events when auditing is enabled.||AUDIT_SUCCESS_FAILURE;0x4;The audit type AUDIT_SUCCESS_FAILURE is used to perform audits on all successful and unsuccessful occurrences of the specified events when auditing is enabled.||;0x5;The empty string value is permitted here to allow for detailed error reporting.||",
TBD,,applicationId,octetArray,current,"Specifies an Application ID per [RFC6759].",,
TBD,,genericRead,boolean,current,"Read access.",,
TBD,,hwAddress,string,current,"The hardware address associated with the interface.",,
TBD,,personFirstName,string,current,"The first name of a natural person.",,
TBD,,netmask,ipAddress,current,"The bitmask used to calculate the interface's IP network.",,
TBD,,hardwareSerialNumber,string,current,"A globally unique identifier for a particular piece of hardware assigned by the vendor.",,
TBD,,selinuxsecuritycontext,list,current,"Describes the SELinux security context of a file or process on the local system.","list(filepath,path,filename,pid,username,role,domainType,lowSensitivity,lowCategory,highSensitivity,highCategory,rawlowSensitivity,rawlowCategory,rawhighSensitivity,rawhighCategory)",
TBD,,domainType,string,current,"Specifies the domain in which the file is accessible or the domain in which a process executes.",,
TBD,,start,boolean,current,"Specifies whether the service is scheduled to start at the runlevel.",,
TBD,,chgLst,dateTimeSeconds,current,"The date of the last password change.",,
TBD,,unit,string,current,"Refers to the full systemd unit name, which has a form of ""$name.$type"". For example ""cupsd.service"". This name is usually also the filename of the unit configuration file.",,
TBD,,publicationTimestamp,dateTimeSeconds,current,"The date and time when the posture information was published.",,
TBD,,reversibleEncryption,boolean,current,"Indicates whether or not passwords are stored using reversible encryption.",,
TBD,,fileAppendData,boolean,current,"Grants the right to append data to the file.",,
TBD,,organizationId,string,current,"A label that uniquely identifies an organization via a PEN.",,
TBD,,methodRepository,string,current,"A label that references a SACM component methods can be registered at and that can provide guidance in the form of registered methods to other SACM components.",,
TBD,,status,string,current,"A set of types that defines possible result values for a finding in general (e.g. true, false, error, unknown, not applicable, not evaluated).",,
TBD,,processorType,string,current,"Specifies the processor type.",,
TBD,,serviceFlag,boolean,current,"Specifies whether the service is in a system process that must always run (true) or if the service is in a non-system process or is not running (false).",,
TBD,,sysctl,list,current,"Stores information retrieved from the local system about a kernel parameter and its respective value(s).","list(kernelParameterName,kernelParameterValue+,uname,machineClass,nodeName,osName,osRelease,osVersion,processorType)",
TBD,,auditKeyCreateLink,enumeration,current,"","AUDIT_FAILURE;0x1;The audit type AUDIT_FAILURE is used to perform audits on all unsuccessful occurrences of specified events when auditing is enabled.||AUDIT_NONE;0x2;The audit type AUDIT_NONE is used to cancel all auditing options for the specified events.||AUDIT_SUCCESS;0x3;The audit type AUDIT_SUCCESS is used to perform audits on all successful occurrences of the specified events when auditing is enabled.||AUDIT_SUCCESS_FAILURE;0x4;The audit type AUDIT_SUCCESS_FAILURE is used to perform audits on all successful and unsuccessful occurrences of the specified events when auditing is enabled.||;0x5;The empty string value is permitted here to allow for detailed error reporting.||",
TBD,,selinuxboolean,list,current,"Describes the current and pending status of a SELinux boolean.","list(selinuxName,currentStatus,pendingStatus)",
TBD,,mibObjectIdentifier,octetArray,current,"An IPFIX Information Element which denotes that a MIB Object Identifier (MIB OID) is exported in the (Options) Template Record.  The mibObjectIdentifier Information Element contains the OID assigned to the MIB Object Type Definition encoded as ASN.1/BER [BER].",,
TBD,,relationshipStatementElementGuid,string,current,"A reference to a specific SACM statement used in a relationship subject.",,
TBD,,passwordHistLen,unsigned32,current,"Specifies the length of password history maintained. A new password cannot match any of the previous usrmod0_password_hist_len passwords. Valid values for this element are zero through DEF_MAX_PWHIST.",,
TBD,,uname,list,current,"Information about the hardware the machine is running on.","list(machineClass,nodeName,osName,osRelease,osVersion,processorType)",
TBD,,applicationComponent,string,current,"A label that references a ""sub""-application that is part of the application (e.g. an add-on, a cipher-suite, a library).",,
TBD,,password,string,current,"The encrypted version of the user's password.",,
TBD,,ipv4AddressValue,ipv4Address,current,"An IPv4 address value.",,
TBD,,personMiddleName,string,current,"The middle name of a natural person.",,
TBD,,kernelParameterName,string,current,"The name of a kernel parameter that was collected from the local system.",,
TBD,,auditGenericExecute,enumeration,current,"Execute access.","AUDIT_FAILURE;0x1;The audit type AUDIT_FAILURE is used to perform audits on all unsuccessful occurrences of specified events when auditing is enabled.||AUDIT_NONE;0x2;The audit type AUDIT_NONE is used to cancel all auditing options for the specified events.||AUDIT_SUCCESS;0x3;The audit type AUDIT_SUCCESS is used to perform audits on all successful occurrences of the specified events when auditing is enabled.||AUDIT_SUCCESS_FAILURE;0x4;The audit type AUDIT_SUCCESS_FAILURE is used to perform audits on all successful and unsuccessful occurrences of the specified events when auditing is enabled.||;0x5;The empty string value is permitted here to allow for detailed error reporting.||",
TBD,,startType,enumeration,current,"Specifies when the service should be started.","SERVICE_AUTO_START;0x1;The SERVICE_AUTO_START type means that the service is started automatically by the Service Control Manager (SCM) during startup. The DWORD value that this corresponds to is 0x00000002.||SERVICE_BOOT_START;0x2;The SERVICE_BOOT_START type means that the driver service is started by the system loader. The DWORD value that this corresponds to is 0x00000000.||SERVICE_DEMAND_START;0x3;The SERVICE_DEMAND_START type means that the service is started by the Service Control Manager (SCM) when StartService() is called. The DWORD value that this corresponds to is 0x00000003.||SERVICE_DISABLED;0x4;The SERVICE_DISABLED type means that the service cannot be started. The DWORD value that this corresponds to is 0x00000004.||SERVICE_SYSTEM_START;0x5;The SERVICE_SYSTEM_START type means that the service is a device driver started by IoInitSystem(). The DWORD value that this corresponds to is 0x00000001.||;0x6;The empty string value is permitted here to allow for empty elements associated with error conditions.||",
TBD,,phoneNumberType,string,current,"A set of types that express the type of a phone number (e.g. DSN, Fax, Home, Mobile, Pager, Secure, Unsecure, Work, Other).",,
TBD,,portId,unsigned32,current,"An identifier of a line port that is unique per IPFIX Device hosting an Observation Point. Typically, this Information Element is used for limiting the scope of other Information Elements.",,
TBD,,foreignFullAddress,ipAddress,current,"The IP address and network port to which the program is communicating or will accept communications from, including the foreign address and foreign port. Note that the IP address can be IPv4 or IPv6.",,
TBD,,destinationTransportPort,unsigned16,current,"The destination port identifier in the transport header. For the transport protocols UDP, TCP, and SCTP, this is the destination port number given in the respective header. This field MAY also be used for future transport protocols that have 16-bit destination port identifiers.",,
TBD,,lastLogon,unsigned32,current,"The date and time when the last logon occurred.",,
TBD,,methodLabel,string,current,"A label that references a specific method registered and used in a SACM domain (e.g. method to match and re-identify target endpoints via identifying attributes).",,
TBD,,disabled,boolean,current,"Specifies whether or not the service is disabled. A value of 'true' indicates that the service is disabled and will not start. A value of 'false' indicates that the service is not disabled.",,
TBD,,genericExecute,boolean,current,"Execute access.",,
TBD,,timestampType,string,current,"a set of types that express what type of action or event happened at that point of time (e.g. discovered, classified, collected, published). Can be included in a generic s.timestamp subject.",,
TBD,,auditKeyEnumerateSubKeys,enumeration,current,"","AUDIT_FAILURE;0x1;The audit type AUDIT_FAILURE is used to perform audits on all unsuccessful occurrences of specified events when auditing is enabled.||AUDIT_NONE;0x2;The audit type AUDIT_NONE is used to cancel all auditing options for the specified events.||AUDIT_SUCCESS;0x3;The audit type AUDIT_SUCCESS is used to perform audits on all successful occurrences of the specified events when auditing is enabled.||AUDIT_SUCCESS_FAILURE;0x4;The audit type AUDIT_SUCCESS_FAILURE is used to perform audits on all successful and unsuccessful occurrences of the specified events when auditing is enabled.||;0x5;The empty string value is permitted here to allow for detailed error reporting.||",
TBD,,serviceInterrogate,boolean,current,"Specifies whether or not permission is granted to request the service to report its status immediately.",,
TBD,,interfaceMacAddress,macAddress,current,"The IEEE 802 MAC address associated with a network interface on an endpoint.",,
TBD,,shadowItem,list,current,"","list(username,password,chgLst,chgAllow,chgReq,expWarn,expInact,expDate,flags,encryptMethod)",
TBD,,forceLogoff,unsigned32,current,"Specifies, in seconds, the amount of time between the end of the valid logon time and the time when the user is forced to log off the network.",,
TBD,,pid,unsigned32,current,"The process ID of the process.",,
TBD,,chgAllow,unsigned32,current,"Specifies how often in days a user may change their password. It can also be thought of as the minimum age of a password.",,
TBD,,rawhighCategory,string,current,"Specifies the set of categories associated with the high sensitivity but in its raw context.",,
TBD,,machineClass,string,current,"Specifies the machine hardware name.",,
TBD,,serviceName,string,current,"Specifies the name of the service.",,
TBD,,keyWow6464Key,boolean,current,"",,
TBD,,runlevel,string,current,"Specifies the system runlevel associated with a service.",,
TBD,,bytesSent,string,current,"A value that represents the number of octets sent on a network interface.",,
TBD,,eventThreshold,string,current,"if applicable, a value that can be included in an event subject to indicate what numeric threshold value was crossed to trigger that event.",,
TBD,,mibModuleName,string,current,"The textual name of the MIB module that defines a MIB Object.",,
TBD,,portInfo,list,current,"Information about open listening ports.","list(localAddress,localPort,transportProtocol,pid,foreignAddress,foreignPort)",
TBD,,ipv4AddressSubnetMask,string,current,"An IPv4 subnet bitmask.",,
TBD,,subInterfaceLabel,string,current,"A unique label a sub network interface (e.g. a tagged vlan on a trunk) can be referenced with.",,
TBD,,ipv4AddressSubnetMaskCidrNotation,string,current,"An IPv4 subnet bitmask in CIDR notation.",,
TBD,,serviceStop,boolean,current,"Specifies whether or not permission is granted to stop the service.",,
TBD,,serviceUserDefined,boolean,current,"Specifies whether or not permission is granted to specify a user-defined control code.",,
TBD,,protocol,string,current,"A set of types that defines specific protocols above layer 4 (e.g. http, https, dns, ipp, or unknown).",,
TBD,,standardDelete,boolean,current,"The right to delete the object.",,
TBD,,regkeyauditedpermissions,list,current,"Stores the audited access rights of a registry key that a system access control list (SACL) structure grants to a specified trustee. The trustee's audited access rights are determined checking all access control entries (ACEs) in the SACL.","list(registryKey,trusteeSid,trusteeName,standardDelete,standardReadControl,standardWriteDac,standardWriteOwner,standardSynchronize,accessSystemSecurity,genericRead,genericWrite,genericExecute,genericAll,keyQueryValue,keySetValue,keyCreateSubKey,keyEnumerateSubKeys,keyNotify,keyCreateLink,keyWow6464Key,keyWow6432Key,keyWow64Res,windowsView)",
TBD,,groupSid,string,current,"Represents the SID of a particular group. If the specified user belongs to more than one group, then multiple groupSid elements are applicable. If the specified user is not a member of a single group, then a single groupSid element should be incldued with a status of 'does not exist'. If there is an error determining the groups that the user belongs to, then a single groupSid element should be included with a status of 'error'.",,
TBD,,auditFileExecute,enumeration,current,"Grants the right to execute a file.","AUDIT_FAILURE;0x1;The audit type AUDIT_FAILURE is used to perform audits on all unsuccessful occurrences of specified events when auditing is enabled.||AUDIT_NONE;0x2;The audit type AUDIT_NONE is used to cancel all auditing options for the specified events.||AUDIT_SUCCESS;0x3;The audit type AUDIT_SUCCESS is used to perform audits on all successful occurrences of the specified events when auditing is enabled.||AUDIT_SUCCESS_FAILURE;0x4;The audit type AUDIT_SUCCESS_FAILURE is used to perform audits on all successful and unsuccessful occurrences of the specified events when auditing is enabled.||;0x5;The empty string value is permitted here to allow for detailed error reporting.||",
TBD,,expDate,dateTimeSeconds,current,"Specifies when will the account's password expire.",,
TBD,,teLabel,string,current,"an identifying label created from a set of identifying attributes used to reference a specific target endpoint.",,
TBD,,relationshipContentElementGuid,string,current,"A reference to a specific content element used in a relationship subject.",,
TBD,,authenticationType,string,current,"A set of types that expresses which type of authentication was used to enable a network interaction/connection.",,
TBD,,interface,list,current,"Represents an interface and its configuration options.","list(interfaceName,hwAddress,inetAddr,netmask)",
TBD,,ppid,unsigned32,current,"The process ID of the process's parent process.",,
TBD,,fileWriteEa,boolean,current,"Grants the right to write extended attributes.",,
TBD,,hasExtendedAcl,boolean,current,"Indicates whether the file or directory hasACL permissions applied to it. If a system supports ACLs and the file or directory doesn't have an ACL, or it matches the standard UNIX permissions, the entity will have a status of 'exists' and a value of 'false'. If the system supports ACLs and the file or directory has an ACL, the entity will have a status of 'exists' and a value of 'true'. Lastly, if a system doesn't support ACLs, the entity will have a status of 'does not exist'.",,
TBD,,loginShell,string,current,"The user's shell program.",,
TBD,,fileType,string,current,"The file's type (e.g., regular file (regular), directory, named pipe (fifo), symbolic link, socket or block special.)",,
TBD,,passwordInfo,list,current,"Describes user account information for a system.","list(username,password,userId,groupId,gcos,homeDir,loginShell,lastLogin)",
TBD,,genericAll,boolean,current,"Read, write, and execute access.",,
TBD,,WGS84Altitude,float64,current,"a label that represents WGS 84 rev 2004 altitude.",,
TBD,,lastLogin,unsigned32,current,"The date and time when the last login occurred.",,
TBD,,accessSystemSecurity,boolean,current,"Indicates access to a system access control list (SACL).",,
TBD,,printerAccessUse,boolean,current,"",,
TBD,,transportProtocol,string,current,"The transport-layer protocol (tcp or udp).",,
TBD,,softwareInstance,orderedList,current,"Information about an instance of software installed on an endpoint. The following high-level digram describes the structure of softwareInstance information element.","orderedList(softwareIdentifier,softwareTitle,softwareCreator,softwareVersion,softwareLastUpdated,softwareClass)",
TBD,,encryptMethod,enumeration,current,"Describes method that is used for hashing passwords.","DES;0x1;The DES method corresponds to the (none) prefix.||BSDi;0x2;The BSDi method corresponds to BSDi modified DES or the '_' prefix.||MD5;0x3;The MD5 method corresponds to MD5 for Linux/BSD or the $1$ prefix.||Blowfish;0x4;The Blowfish method corresponds to Blowfish (OpenBSD) or the $2$ or $2a$ prefixes.||Sun MD5;0x5;The Sun MD5 method corresponds to the $md5$ prefix.||SHA-256;0x6;The SHA-256 method corresponds to the $5$ prefix.||SHA-512;0x7;The SHA-512 method corresponds to the $6$||prefix.;0x8;The empty string value is permitted here to allow for empty elements associated with variable references.||",
TBD,,superAdministrativeDomain,string,current,"a label for related parent domains an administrative domain is part of (used in the subject s.administrative-domain).",,
TBD,,trusteeName,string,current,"Specifies the trustee name. A trustee can be a user, group, or program (such as a Windows service).",,
TBD,,keyCreateSubKey,boolean,current,"Specifies whether or not permission is granted to create a subkey.",,
TBD,,mibObjectValueInteger,signed64,current,"An IPFIX Information Element which denotes that the integer value of a MIB object will be exported. The MIB Object Identifier (""mibObjectIdentifier"") for this field MUST be exported in a MIB Field Option or via another means.  This Information Element is used for MIB objects with the Base Syntax of Integer32 and INTEGER with IPFIX Reduced Size Encoding used as required. The value is encoded as per the standard IPFIX Abstract Data Type of signed64.",,
TBD,,certificate,string,current,"A value that expresses a certificate that can be collected from a target endpoint.",,
TBD,,symlink,list,current,"Identifies the result generated for a symlink.","list(symlinkFilepath,canonicalPath)",
